game 49/100: A white -> loss (checkmate, 122 plies)  |  A vs B: +21 =9 -19 over 49 games, score 52.0%, elo +14 (95% -76..+106), avg plies 112, checkmate 40, insufficient_material 1, threefold_repetition 8
game 50/100: A black -> draw (threefold_repetition, 37 plies)  |  A vs B: +21 =10 -19 over 50 games, score 52.0%, elo +14 (95% -74..+104), avg plies 111, checkmate 40, insufficient_material 1, threefold_repetition 9
game 51/100: A white -> win (checkmate, 119 plies)  |  A vs B: +22 =10 -19 over 51 games, score 52.9%, elo +20 (95% -67..+110), avg plies 111, checkmate 41, insufficient_material 1, threefold_repetition 9
game 52/100: A black -> loss (checkmate, 105 plies)  |  A vs B: +22 =10 -20 over 52 games, score 51.9%, elo +13 (95% -73..+102), avg plies 111, checkmate 42, insufficient_material 1, threefold_repetition 9
game 53/100: A white -> draw (threefold_repetition, 92 plies)  |  A vs B: +22 =11 -20 over 53 games, score 51.9%, elo +13 (95% -72..+100), avg plies 110, checkmate 42, insufficient_material 1, threefold_repetition 10
game 54/100: A black -> draw (threefold_repetition, 137 plies)  |  A vs B: +22 =12 -20 over 54 games, score 51.9%, elo +13 (95% -71..+98), avg plies 111, checkmate 42, insufficient_material 1, threefold_repetition 11
game 55/100: A white -> loss (checkmate, 150 plies)  |  A vs B: +22 =12 -21 over 55 games, score 50.9%, elo +6 (95% -77..+90), avg plies 112, checkmate 43, insufficient_material 1, threefold_repetition 11
game 56/100: A black -> draw (insufficient_material, 126 plies)  |  A vs B: +22 =13 -21 over 56 games, score 50.9%, elo +6 (95% -75..+89), avg plies 112, checkmate 43, insufficient_material 2, threefold_repetition 11
game 57/100: A white -> win (checkmate, 109 plies)  |  A vs B: +23 =13 -21 over 57 games, score 51.8%, elo +12 (95% -69..+94), avg plies 112, checkmate 44, insufficient_material 2, threefold_repetition 11
game 58/100: A black -> loss (checkmate, 117 plies)  |  A vs B: +23 =13 -22 over 58 games, score 50.9%, elo +6 (95% -75..+87), avg plies 112, checkmate 45, insufficient_material 2, threefold_repetition 11
game 59/100: A white -> draw (threefold_repetition, 44 plies)  |  A vs B: +23 =14 -22 over 59 games, score 50.8%, elo +6 (95% -73..+86), avg plies 111, checkmate 45, insufficient_material 2, threefold_repetition 12
game 60/100: A black -> draw (threefold_repetition, 60 plies)  |  A vs B: +23 =15 -22 over 60 games, score 50.8%, elo +6 (95% -72..+84), avg plies 110, checkmate 45, insufficient_material 2, threefold_repetition 13
game 61/100: A white -> draw (threefold_repetition, 72 plies)  |  A vs B: +23 =16 -22 over 61 games, score 50.8%, elo +6 (95% -71..+83), avg plies 109, checkmate 45, insufficient_material 2, threefold_repetition 14
game 62/100: A black -> win (checkmate, 140 plies)  |  A vs B: +24 =16 -22 over 62 games, score 51.6%, elo +11 (95% -65..+88), avg plies 110, checkmate 46, insufficient_material 2, threefold_repetition 14
game 63/100: A white -> loss (checkmate, 112 plies)  |  A vs B: +24 =16 -23 over 63 games, score 50.8%, elo +6 (95% -70..+82), avg plies 110, checkmate 47, insufficient_material 2, threefold_repetition 14
game 64/100: A black -> loss (checkmate, 171 plies)  |  A vs B: +24 =16 -24 over 64 games, score 50.0%, elo -0 (95% -75..+75), avg plies 111, checkmate 48, insufficient_material 2, threefold_repetition 14
game 65/100: A white -> draw (threefold_repetition, 61 plies)  |  A vs B: +24 =17 -24 over 65 games, score 50.0%, elo -0 (95% -74..+74), avg plies 110, checkmate 48, insufficient_material 2, threefold_repetition 15
game 66/100: A black -> draw (threefold_repetition, 96 plies)  |  A vs B: +24 =18 -24 over 66 games, score 50.0%, elo -0 (95% -73..+73), avg plies 110, checkmate 48, insufficient_material 2, threefold_repetition 16
game 67/100: A white -> draw (threefold_repetition, 59 plies)  |  A vs B: +24 =19 -24 over 67 games, score 50.0%, elo -0 (95% -72..+72), avg plies 109, checkmate 48, insufficient_material 2, threefold_repetition 17
game 68/100: A black -> win (checkmate, 134 plies)  |  A vs B: +25 =19 -24 over 68 games, score 50.7%, elo +5 (95% -66..+77), avg plies 109, checkmate 49, insufficient_material 2, threefold_repetition 17
game 69/100: A white -> draw (insufficient_material, 130 plies)  |  A vs B: +25 =20 -24 over 69 games, score 50.7%, elo +5 (95% -65..+76), avg plies 110, checkmate 49, insufficient_material 3, threefold_repetition 17
game 70/100: A black -> loss (checkmate, 133 plies)  |  A vs B: +25 =20 -25 over 70 games, score 50.0%, elo -0 (95% -70..+70), avg plies 110, checkmate 50, insufficient_material 3, threefold_repetition 17
