game 51/100: A white -> win (checkmate, 125 plies)  |  A vs B: +21 =15 -15 over 51 games, score 55.9%, elo +41 (95% -39..+126), avg plies 121, checkmate 36, insufficient_material 2, threefold_repetition 13
game 52/100: A black -> loss (checkmate, 135 plies)  |  A vs B: +21 =15 -16 over 52 games, score 54.8%, elo +34 (95% -47..+118), avg plies 122, checkmate 37, insufficient_material 2, threefold_repetition 13
game 53/100: A white -> win (checkmate, 117 plies)  |  A vs B: +22 =15 -16 over 53 games, score 55.7%, elo +40 (95% -40..+124), avg plies 122, checkmate 38, insufficient_material 2, threefold_repetition 13
game 54/100: A black -> loss (checkmate, 155 plies)  |  A vs B: +22 =15 -17 over 54 games, score 54.6%, elo +32 (95% -47..+115), avg plies 122, checkmate 39, insufficient_material 2, threefold_repetition 13
game 55/100: A white -> loss (checkmate, 58 plies)  |  A vs B: +22 =15 -18 over 55 games, score 53.6%, elo +25 (95% -54..+107), avg plies 121, checkmate 40, insufficient_material 2, threefold_repetition 13
game 56/100: A black -> draw (threefold_repetition, 142 plies)  |  A vs B: +22 =16 -18 over 56 games, score 53.6%, elo +25 (95% -53..+105), avg plies 121, checkmate 40, insufficient_material 2, threefold_repetition 14
game 57/100: A white -> win (checkmate, 149 plies)  |  A vs B: +23 =16 -18 over 57 games, score 54.4%, elo +31 (95% -47..+111), avg plies 122, checkmate 41, insufficient_material 2, threefold_repetition 14
game 58/100: A black -> loss (checkmate, 95 plies)  |  A vs B: +23 =16 -19 over 58 games, score 53.4%, elo +24 (95% -53..+103), avg plies 121, checkmate 42, insufficient_material 2, threefold_repetition 14
game 59/100: A white -> loss (checkmate, 140 plies)  |  A vs B: +23 =16 -20 over 59 games, score 52.5%, elo +18 (95% -59..+96), avg plies 122, checkmate 43, insufficient_material 2, threefold_repetition 14
game 60/100: A black -> draw (threefold_repetition, 76 plies)  |  A vs B: +23 =17 -20 over 60 games, score 52.5%, elo +17 (95% -58..+95), avg plies 121, checkmate 43, insufficient_material 2, threefold_repetition 15
game 61/100: A white -> draw (threefold_repetition, 65 plies)  |  A vs B: +23 =18 -20 over 61 games, score 52.5%, elo +17 (95% -57..+93), avg plies 120, checkmate 43, insufficient_material 2, threefold_repetition 16
game 62/100: A black -> win (checkmate, 106 plies)  |  A vs B: +24 =18 -20 over 62 games, score 53.2%, elo +22 (95% -51..+98), avg plies 120, checkmate 44, insufficient_material 2, threefold_repetition 16
game 63/100: A white -> win (checkmate, 129 plies)  |  A vs B: +25 =18 -20 over 63 games, score 54.0%, elo +28 (95% -45..+103), avg plies 120, checkmate 45, insufficient_material 2, threefold_repetition 16
game 64/100: A black -> draw (insufficient_material, 126 plies)  |  A vs B: +25 =19 -20 over 64 games, score 53.9%, elo +27 (95% -45..+102), avg plies 120, checkmate 45, insufficient_material 3, threefold_repetition 16
game 65/100: A white -> win (checkmate, 143 plies)  |  A vs B: +26 =19 -20 over 65 games, score 54.6%, elo +32 (95% -39..+106), avg plies 120, checkmate 46, insufficient_material 3, threefold_repetition 16
game 66/100: A black -> win (checkmate, 136 plies)  |  A vs B: +27 =19 -20 over 66 games, score 55.3%, elo +37 (95% -34..+111), avg plies 121, checkmate 47, insufficient_material 3, threefold_repetition 16
game 67/100: A white -> draw (threefold_repetition, 243 plies)  |  A vs B: +27 =20 -20 over 67 games, score 55.2%, elo +36 (95% -33..+109), avg plies 122, checkmate 47, insufficient_material 3, threefold_repetition 17
game 68/100: A black -> win (checkmate, 180 plies)  |  A vs B: +28 =20 -20 over 68 games, score 55.9%, elo +41 (95% -28..+114), avg plies 123, checkmate 48, insufficient_material 3, threefold_repetition 17
game 69/100: A white -> draw (threefold_repetition, 151 plies)  |  A vs B: +28 =21 -20 over 69 games, score 55.8%, elo +40 (95% -28..+112), avg plies 124, checkmate 48, insufficient_material 3, threefold_repetition 18
game 70/100: A black -> loss (checkmate, 171 plies)  |  A vs B: +28 =21 -21 over 70 games, score 55.0%, elo +35 (95% -33..+106), avg plies 124, checkmate 49, insufficient_material 3, threefold_repetition 18
game 71/100: A white -> draw (threefold_repetition, 96 plies)  |  A vs B: +28 =22 -21 over 71 games, score 54.9%, elo +34 (95% -33..+104), avg plies 124, checkmate 49, insufficient_material 3, threefold_repetition 19
game 72/100: A black -> loss (checkmate, 131 plies)  |  A vs B: +28 =22 -22 over 72 games, score 54.2%, elo +29 (95% -38..+99), avg plies 124, checkmate 50, insufficient_material 3, threefold_repetition 19
game 73/100: A white -> win (checkmate, 125 plies)  |  A vs B: +29 =22 -22 over 73 games, score 54.8%, elo +33 (95% -33..+103), avg plies 124, checkmate 51, insufficient_material 3, threefold_repetition 19
game 74/100: A black -> draw (insufficient_material, 276 plies)  |  A vs B: +29 =23 -22 over 74 games, score 54.7%, elo +33 (95% -33..+101), avg plies 126, checkmate 51, insufficient_material 4, threefold_repetition 19
game 75/100: A white -> win (checkmate, 79 plies)  |  A vs B: +30 =23 -22 over 75 games, score 55.3%, elo +37 (95% -28..+106), avg plies 126, checkmate 52, insufficient_material 4, threefold_repetition 19
game 76/100: A black -> loss (checkmate, 113 plies)  |  A vs B: +30 =23 -23 over 76 games, score 54.6%, elo +32 (95% -33..+100), avg plies 125, checkmate 53, insufficient_material 4, threefold_repetition 19
game 77/100: A white -> loss (checkmate, 124 plies)  |  A vs B: +30 =23 -24 over 77 games, score 53.9%, elo +27 (95% -38..+94), avg plies 125, checkmate 54, insufficient_material 4, threefold_repetition 19
game 78/100: A black -> loss (checkmate, 173 plies)  |  A vs B: +30 =23 -25 over 78 games, score 53.2%, elo +22 (95% -43..+89), avg plies 126, checkmate 55, insufficient_material 4, threefold_repetition 19
game 79/100: A white -> win (checkmate, 99 plies)  |  A vs B: +31 =23 -25 over 79 games, score 53.8%, elo +26 (95% -38..+93), avg plies 126, checkmate 56, insufficient_material 4, threefold_repetition 19
game 80/100: A black -> win (checkmate, 158 plies)  |  A vs B: +32 =23 -25 over 80 games, score 54.4%, elo +30 (95% -34..+97), avg plies 126, checkmate 57, insufficient_material 4, threefold_repetition 19
game 81/100: A white -> win (checkmate, 119 plies)  |  A vs B: +33 =23 -25 over 81 games, score 54.9%, elo +34 (95% -30..+101), avg plies 126, checkmate 58, insufficient_material 4, threefold_repetition 19
game 82/100: A black -> win (checkmate, 98 plies)  |  A vs B: +34 =23 -25 over 82 games, score 55.5%, elo +38 (95% -26..+105), avg plies 126, checkmate 59, insufficient_material 4, threefold_repetition 19
game 83/100: A white -> win (checkmate, 161 plies)  |  A vs B: +35 =23 -25 over 83 games, score 56.0%, elo +42 (95% -21..+109), avg plies 126, checkmate 60, insufficient_material 4, threefold_repetition 19
