game 51/100: A white -> draw (threefold_repetition, 84 plies)  |  A vs B: +22 =14 -15 over 51 games, score 56.9%, elo +48 (95% -33..+135), avg plies 121, checkmate 37, insufficient_material 1, threefold_repetition 13
game 52/100: A black -> loss (checkmate, 145 plies)  |  A vs B: +22 =14 -16 over 52 games, score 55.8%, elo +40 (95% -41..+126), avg plies 121, checkmate 38, insufficient_material 1, threefold_repetition 13
game 53/100: A white -> loss (checkmate, 128 plies)  |  A vs B: +22 =14 -17 over 53 games, score 54.7%, elo +33 (95% -48..+118), avg plies 121, checkmate 39, insufficient_material 1, threefold_repetition 13
game 54/100: A black -> win (checkmate, 94 plies)  |  A vs B: +23 =14 -17 over 54 games, score 55.6%, elo +39 (95% -41..+123), avg plies 121, checkmate 40, insufficient_material 1, threefold_repetition 13
game 55/100: A white -> loss (checkmate, 158 plies)  |  A vs B: +23 =14 -18 over 55 games, score 54.5%, elo +32 (95% -48..+115), avg plies 122, checkmate 41, insufficient_material 1, threefold_repetition 13
game 56/100: A black -> loss (checkmate, 103 plies)  |  A vs B: +23 =14 -19 over 56 games, score 53.6%, elo +25 (95% -55..+107), avg plies 121, checkmate 42, insufficient_material 1, threefold_repetition 13
game 57/100: A white -> loss (checkmate, 82 plies)  |  A vs B: +23 =14 -20 over 57 games, score 52.6%, elo +18 (95% -61..+100), avg plies 121, checkmate 43, insufficient_material 1, threefold_repetition 13
game 58/100: A black -> loss (checkmate, 153 plies)  |  A vs B: +23 =14 -21 over 58 games, score 51.7%, elo +12 (95% -67..+93), avg plies 121, checkmate 44, insufficient_material 1, threefold_repetition 13
game 59/100: A white -> win (checkmate, 93 plies)  |  A vs B: +24 =14 -21 over 59 games, score 52.5%, elo +18 (95% -61..+98), avg plies 121, checkmate 45, insufficient_material 1, threefold_repetition 13
game 60/100: A black -> win (checkmate, 96 plies)  |  A vs B: +25 =14 -21 over 60 games, score 53.3%, elo +23 (95% -55..+104), avg plies 120, checkmate 46, insufficient_material 1, threefold_repetition 13
game 61/100: A white -> win (checkmate, 105 plies)  |  A vs B: +26 =14 -21 over 61 games, score 54.1%, elo +29 (95% -49..+109), avg plies 120, checkmate 47, insufficient_material 1, threefold_repetition 13
game 62/100: A black -> win (checkmate, 150 plies)  |  A vs B: +27 =14 -21 over 62 games, score 54.8%, elo +34 (95% -43..+114), avg plies 121, checkmate 48, insufficient_material 1, threefold_repetition 13
game 63/100: A white -> loss (checkmate, 132 plies)  |  A vs B: +27 =14 -22 over 63 games, score 54.0%, elo +28 (95% -49..+107), avg plies 121, checkmate 49, insufficient_material 1, threefold_repetition 13
game 64/100: A black -> win (checkmate, 126 plies)  |  A vs B: +28 =14 -22 over 64 games, score 54.7%, elo +33 (95% -43..+112), avg plies 121, checkmate 50, insufficient_material 1, threefold_repetition 13
game 65/100: A white -> win (checkmate, 147 plies)  |  A vs B: +29 =14 -22 over 65 games, score 55.4%, elo +38 (95% -38..+116), avg plies 121, checkmate 51, insufficient_material 1, threefold_repetition 13
game 66/100: A black -> loss (checkmate, 157 plies)  |  A vs B: +29 =14 -23 over 66 games, score 54.5%, elo +32 (95% -43..+110), avg plies 122, checkmate 52, insufficient_material 1, threefold_repetition 13
game 67/100: A white -> draw (threefold_repetition, 178 plies)  |  A vs B: +29 =15 -23 over 67 games, score 54.5%, elo +31 (95% -43..+108), avg plies 123, checkmate 52, insufficient_material 1, threefold_repetition 14
game 68/100: A black -> win (checkmate, 160 plies)  |  A vs B: +30 =15 -23 over 68 games, score 55.1%, elo +36 (95% -37..+112), avg plies 123, checkmate 53, insufficient_material 1, threefold_repetition 14
game 69/100: A white -> win (checkmate, 125 plies)  |  A vs B: +31 =15 -23 over 69 games, score 55.8%, elo +40 (95% -32..+117), avg plies 123, checkmate 54, insufficient_material 1, threefold_repetition 14
game 70/100: A black -> win (checkmate, 100 plies)  |  A vs B: +32 =15 -23 over 70 games, score 56.4%, elo +45 (95% -27..+121), avg plies 123, checkmate 55, insufficient_material 1, threefold_repetition 14
game 71/100: A white -> win (checkmate, 109 plies)  |  A vs B: +33 =15 -23 over 71 games, score 57.0%, elo +49 (95% -22..+125), avg plies 123, checkmate 56, insufficient_material 1, threefold_repetition 14
game 72/100: A black -> loss (checkmate, 87 plies)  |  A vs B: +33 =15 -24 over 72 games, score 56.2%, elo +44 (95% -28..+119), avg plies 122, checkmate 57, insufficient_material 1, threefold_repetition 14
game 73/100: A white -> win (checkmate, 221 plies)  |  A vs B: +34 =15 -24 over 73 games, score 56.8%, elo +48 (95% -23..+123), avg plies 123, checkmate 58, insufficient_material 1, threefold_repetition 14
game 74/100: A black -> draw (threefold_repetition, 113 plies)  |  A vs B: +34 =16 -24 over 74 games, score 56.8%, elo +47 (95% -23..+121), avg plies 123, checkmate 58, insufficient_material 1, threefold_repetition 15
game 75/100: A white -> loss (checkmate, 146 plies)  |  A vs B: +34 =16 -25 over 75 games, score 56.0%, elo +42 (95% -28..+115), avg plies 124, checkmate 59, insufficient_material 1, threefold_repetition 15
game 76/100: A black -> loss (checkmate, 97 plies)  |  A vs B: +34 =16 -26 over 76 games, score 55.3%, elo +37 (95% -33..+109), avg plies 123, checkmate 60, insufficient_material 1, threefold_repetition 15
game 77/100: A white -> loss (checkmate, 128 plies)  |  A vs B: +34 =16 -27 over 77 games, score 54.5%, elo +32 (95% -38..+104), avg plies 123, checkmate 61, insufficient_material 1, threefold_repetition 15
game 78/100: A black -> win (checkmate, 150 plies)  |  A vs B: +35 =16 -27 over 78 games, score 55.1%, elo +36 (95% -33..+108), avg plies 124, checkmate 62, insufficient_material 1, threefold_repetition 15
game 79/100: A white -> win (checkmate, 189 plies)  |  A vs B: +36 =16 -27 over 79 games, score 55.7%, elo +40 (95% -29..+112), avg plies 125, checkmate 63, insufficient_material 1, threefold_repetition 15
game 80/100: A black -> win (checkmate, 60 plies)  |  A vs B: +37 =16 -27 over 80 games, score 56.2%, elo +44 (95% -24..+115), avg plies 124, checkmate 64, insufficient_material 1, threefold_repetition 15
game 81/100: A white -> draw (threefold_repetition, 135 plies)  |  A vs B: +37 =17 -27 over 81 games, score 56.2%, elo +43 (95% -24..+114), avg plies 124, checkmate 64, insufficient_material 1, threefold_repetition 16
game 82/100: A black -> loss (checkmate, 109 plies)  |  A vs B: +37 =17 -28 over 82 games, score 55.5%, elo +38 (95% -29..+108), avg plies 124, checkmate 65, insufficient_material 1, threefold_repetition 16
game 83/100: A white -> loss (checkmate, 168 plies)  |  A vs B: +37 =17 -29 over 83 games, score 54.8%, elo +34 (95% -33..+103), avg plies 124, checkmate 66, insufficient_material 1, threefold_repetition 16
game 84/100: A black -> draw (insufficient_material, 123 plies)  |  A vs B: +37 =18 -29 over 84 games, score 54.8%, elo +33 (95% -33..+102), avg plies 124, checkmate 66, insufficient_material 2, threefold_repetition 16
game 85/100: A white -> win (checkmate, 119 plies)  |  A vs B: +38 =18 -29 over 85 games, score 55.3%, elo +37 (95% -29..+105), avg plies 124, checkmate 67, insufficient_material 2, threefold_repetition 16
game 86/100: A black -> draw (threefold_repetition, 112 plies)  |  A vs B: +38 =19 -29 over 86 games, score 55.2%, elo +36 (95% -28..+104), avg plies 124, checkmate 67, insufficient_material 2, threefold_repetition 17
game 87/100: A white -> win (checkmate, 147 plies)  |  A vs B: +39 =19 -29 over 87 games, score 55.7%, elo +40 (95% -24..+108), avg plies 124, checkmate 68, insufficient_material 2, threefold_repetition 17
game 88/100: A black -> win (checkmate, 128 plies)  |  A vs B: +40 =19 -29 over 88 games, score 56.2%, elo +44 (95% -21..+111), avg plies 124, checkmate 69, insufficient_material 2, threefold_repetition 17
game 89/100: A white -> loss (checkmate, 138 plies)  |  A vs B: +40 =19 -30 over 89 games, score 55.6%, elo +39 (95% -25..+106), avg plies 124, checkmate 70, insufficient_material 2, threefold_repetition 17
