16 bots, 12000 games total, 0 already done, 12000 to play, 12 workers
[76/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (15.8s) | elapsed 1m, eta 174m
[77/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (12.4s) | elapsed 1m, eta 174m
[78/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.2s) | elapsed 1m, eta 172m
[79/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.2s) | elapsed 1m, eta 172m
[80/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.4s) | elapsed 1m, eta 172m
[81/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.1s) | elapsed 1m, eta 172m
[82/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.7s) | elapsed 1m, eta 172m
[83/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.7s) | elapsed 1m, eta 171m
[84/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (12.7s) | elapsed 1m, eta 169m
[85/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (7.1s) | elapsed 1m, eta 169m
[86/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.2s) | elapsed 1m, eta 170m
[87/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.6s) | elapsed 1m, eta 169m
[88/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.1s) | elapsed 1m, eta 168m
[89/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.0s) | elapsed 1m, eta 170m
[90/12000] 01_negamax vs 02_alpha_beta_pruning: black by checkmate (10.3s) | elapsed 1m, eta 171m
[91/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.6s) | elapsed 1m, eta 171m
[92/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (6.9s) | elapsed 1m, eta 169m
[93/12000] 01_negamax vs 02_alpha_beta_pruning: black by checkmate (12.5s) | elapsed 1m, eta 168m
[94/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (12.6s) | elapsed 1m, eta 171m
[95/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.3s) | elapsed 1m, eta 169m
[96/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (7.7s) | elapsed 1m, eta 170m
[97/12000] 01_negamax vs 02_alpha_beta_pruning: black by checkmate (12.4s) | elapsed 1m, eta 169m
[98/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.3s) | elapsed 1m, eta 169m
[99/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (12.9s) | elapsed 1m, eta 171m
[100/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (15.0s) | elapsed 1m, eta 172m
[101/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (9.0s) | elapsed 1m, eta 172m
[102/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (14.0s) | elapsed 2m, eta 175m
[103/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (14.2s) | elapsed 2m, eta 177m
[104/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (11.8s) | elapsed 2m, eta 177m
[105/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.6s) | elapsed 2m, eta 176m
